country,total_jogos,aprovacao,ivs_medio
Japan,2871,0.7907438764173955,0.31527342389411356
United States,2533,0.7756016904321406,0.44463454401894986
United Kingdom,982,0.7634625660836286,0.4185804480651731
France,521,0.7304836023170307,0.414084452975048
Canada,493,0.8080207631449208,0.4601221095334686
Germany,406,0.7267047104119692,0.3586625615763547
Poland,405,0.7560790273046917,0.45434518518518524
Brazil,403,0.8256535829256827,0.5320831265508684
Russia,391,0.7438961574548119,0.4232329923273658
Netherlands,384,0.7204976610933187,0.5535270833333333
Spain,266,0.7558077641992244,0.25972744360902256
Sweden,221,0.8112707899764174,0.4525461538461538
Australia,209,0.7789003003239539,0.32412775119617226
Italy,192,0.7207037975118659,0.30807864583333333
Ukraine,171,0.7734175749029615,0.5339456140350877
People's Republic of China,167,0.7498733962294301,0.4924323353293413
Czech Republic,122,0.7960425408073225,0.460227868852459
South Korea,116,0.7200636165011998,0.6055353448275862
Finland,116,0.8063858912968844,0.4763801724137931
Austria,99,0.7844987029290006,0.32263030303030305
Denmark,71,0.8220524304809603,0.4143619718309859
Norway,60,0.8267957621650147,0.5251416666666667
Belgium,57,0.7395590098097946,0.31824210526315794
Serbia,55,0.7439765495266438,0.11983454545454546
Mexico,54,0.5892162899798047,0.5420851851851852
Switzerland,52,0.8436454901632374,0.32508653846153845
Hungary,44,0.7473506069714059,0.2859863636363636
Slovakia,40,0.7323097714630442,0.2335775
Croatia,40,0.847924277333143,0.33236750000000004
New Zealand,34,0.8584813945399814,0.4005970588235294
India,34,0.45621353340730314,0.13723823529411766
Singapore,33,0.7948581021267132,0.46793030303030303
Cyprus,26,0.7136914056247522,0.7524730769230769
Turkey,25,0.7548762241805319,0.317764
Lithuania,25,0.7771733164959426,0.383404
Indonesia,24,0.7876400936373495,0.5751208333333333
Chile,20,0.7038358438699135,0.252205
Argentina,19,0.7647678168732164,0.6502842105263158
Taiwan,18,0.8761461544292086,0.49450555555555553
Romania,18,0.7332476308730876,0.4993055555555556
South Africa,17,0.8324019384190787,0.5082294117647059
Greece,17,0.7041553774859372,0.7281058823529412
Thailand,16,0.7068087233031989,0.37848125
Bulgaria,15,0.8447544004351915,0.23224
Estonia,12,0.8067063289608872,0.4688583333333333
http://www.wikidata.org/.well-known/genid/c63e8cd854f4f66d70b953fb963d00ac,11,0.9307389603018471,2.1982636363636363
Costa Rica,11,0.8059094994580671,0.819409090909091
Israel,10,0.8568617047000634,0.26769
http://www.wikidata.org/.well-known/genid/f47e48e265ead1940dcdc2ff1ee7f3e3,9,0.7323904776866719,0.07974444444444445
Portugal,9,0.7204818855829326,0.15856666666666666
